dateObserved,temperature,relativeHumidity,hour
2023-06-01 00:01:00+00:00,14.142443,83.51705,0
2023-06-01 00:11:00+00:00,13.976883,84.25712,0
2023-06-01 00:21:00+00:00,13.891432,84.48791,0
2023-06-01 00:31:00+00:00,13.995575,83.20805,0
2023-06-01 00:41:00+00:00,13.912795,82.84947,0
2023-06-01 00:51:00+00:00,13.699168,83.76311,0
2023-06-01 01:21:00+00:00,13.349356,84.35058,1
2023-06-01 01:31:00+00:00,13.384069,83.98627,1
2023-06-01 01:51:00+00:00,13.277256,83.65247,1
2023-06-01 02:01:00+00:00,13.170444,83.778366,2
2023-06-01 02:11:00+00:00,13.028915,84.323875,2
2023-06-01 02:21:00+00:00,12.967498,84.50698,2
2023-06-01 02:31:00+00:00,12.914092,84.66338,2
2023-06-01 02:41:00+00:00,12.916762,84.589,2
2023-06-01 02:51:00+00:00,12.887388,84.089264,2
2023-06-01 03:01:00+00:00,12.868696,84.547035,3
2023-06-01 03:11:00+00:00,12.8339815,85.193634,3
2023-06-01 03:21:00+00:00,12.855345,85.37484,3
2023-06-01 03:31:00+00:00,12.850004,85.428246,3
2023-06-01 03:41:00+00:00,12.775234,85.99092,3
2023-06-01 03:51:00+00:00,12.745861,86.1664,3
2023-06-01 04:01:00+00:00,12.673762,85.76395,4
2023-06-01 04:21:00+00:00,12.607004,86.196915,4
2023-06-01 04:31:00+00:00,12.641718,85.96803,4
2023-06-01 04:41:00+00:00,12.756542,85.52552,4
2023-06-01 05:01:00+00:00,13.106356,84.331505,5
2023-06-01 05:21:00+00:00,13.640421,82.4432,5
2023-06-01 05:31:00+00:00,13.952849,81.59823,5
2023-06-01 05:41:00+00:00,14.265278,80.2707,5
2023-06-01 06:11:00+00:00,15.8674755,75.26574,6
2023-06-01 06:21:00+00:00,16.660563,72.166245,6
2023-06-01 06:31:00+00:00,16.855497,70.314186,6
2023-06-01 06:41:00+00:00,17.352179,68.32479,6
2023-06-01 07:21:00+00:00,18.66598,59.77592,7
2023-06-01 07:51:00+00:00,20.027847,55.33936,7
2023-06-01 08:01:00+00:00,20.708782,54.17777,8
2023-06-01 08:21:00+00:00,21.539253,48.188602,8
2023-06-01 09:21:00+00:00,22.764935,42.817425,9
2023-06-01 09:31:00+00:00,23.37644,42.19753,9
2023-06-01 09:41:00+00:00,23.432516,42.874645,9
2023-06-01 09:51:00+00:00,23.712902,41.78172,9
2023-06-01 10:01:00+00:00,24.209583,39.677883,10
2023-06-01 10:11:00+00:00,24.396505,40.55146,10
2023-06-01 10:41:00+00:00,24.738308,40.2768,10
2023-06-01 11:01:00+00:00,25.104143,40.631573,11
2023-06-01 11:31:00+00:00,25.202946,40.969177,11
2023-06-01 11:51:00+00:00,25.923933,39.68742,11
2023-06-01 12:01:00+00:00,25.955978,38.062332,12
2023-06-01 12:11:00+00:00,25.846495,39.59777,12
2023-06-01 12:21:00+00:00,25.859846,39.099945,12
2023-06-01 12:41:00+00:00,25.440605,39.881973,12
2023-06-01 12:51:00+00:00,25.384527,39.391777,12
2023-06-01 13:01:00+00:00,25.745022,40.402687,13
2023-06-01 13:11:00+00:00,25.021362,39.290684,13
